id,lat,lon,name,type
13,7.90347903458,98.3158076747,ควนยาง (ใหญ่),metal
4,7.8992151,98.3050894,ซอย บ้านกำนัน (ใหญ่),metal
7,7.90147116189,98.3080067334,คลองบางวัด (ใหญ่),metal
2,7.87880758412,98.3005071938,เขา 50 ปี (ใหญ่) 1,metal
11,7.88447577081,98.2787292404,เขาไตรตรัง (ใหญ่),metal
6,7.92123634212,98.2800865173,พระบารมี ซอย 9 (ใหญ่),metal
9,7.89943025633,98.3074557781,แคมป์ มณีศรี 2 (ใหญ่),metal
5,7.89526167447,98.3008570478,หลัง ร.พ ป่าตอง (เล็ก),metal
3,7.87496009758,98.3063101206,เขา 50 ปี (ใหญ่) 2,metal
10,7.88698919949,98.2989639687,ปากซอย บ่อบำบัดน้ำเสีย (ใหญ่),metal
900,7.91313889517,98.2942968607,บารมี 7,metal
8,7.89813464935,98.3060557927,แคมป์ มณีศรี 1 (เล็ก),metal
12,7.9006,98.29752,วัดเเหลมเพชร (ใหญ่),metal
